Flow Duration,Total Fwd Packets,Total Backward Packets,Packet Length Mean,Flow Bytes/s,Protocol,Destination Port,Label
377420,4,3,92.57142857142857,1716.9182067648085,6,63301,0
410824,5,3,87.75,1708.7586945331238,6,53,0
428577,4,3,102.14285714285714,1668.309070224774,6,60323,0
450889,5,3,96.125,1705.5191220654347,6,53,0
526315,5,4,84.0,1436.399623289207,6,63301,0
561321,5,5,81.0,1443.0233019432515,6,63301,0
611133,6,5,78.54545454545455,1413.7673151332006,6,53,0
0,1,0,66.0,0,6,443,0
646176,5,4,91.44444444444444,1273.6461416985824,6,60323,0
677431,5,5,87.7,1294.5961336025478,6,60323,0
705448,6,5,84.63636363636364,1319.727565898557,6,53,0
16973070,5,0,389.0,114.59328976910845,17,5353,0
17003057,6,0,389.0,137.2694314238724,17,5353,0
0,1,0,200.0,0,17,39929,0
6623190,9,0,266.1111111111111,361.6082060574217,17,5353,0
6814419,6,0,87.0,76.60227223347377,17,5353,0
12823875,7,0,151.0,82.42437839432309,17,5353,0
11500698,8,0,307.5,213.90005013949127,17,5353,0
319501,1,1,66.0,413.1440378781943,6,52835,0
335710,2,1,62.0,554.0483653901467,6,443,0
352654,3,1,406.0,4605.0774781815635,6,443,0
380595,4,1,479.8,6303.28089189411,6,443,0
8712590,4,3,60.857142857142854,48.89475510596962,6,27017,0
8740456,4,4,60.0,54.91704107658535,6,64146,0
17296447,7,0,389.0,157.43117178031835,17,5353,0
17085628,13,0,387.0,294.4580041290598,17,5353,0
0,1,0,155.0,0,17,1990,0
16992592,13,0,411.0,314.43113385593244,17,5353,0
16071691,8,0,76.0,37.83049329592103,17,5353,0
0,1,0,70.0,0,17,5355,0
16584210,11,0,387.0,256.6899454118368,17,5353,0
617375,4,2,408.8333333333333,3973.270001749399,6,52835,0
633493,4,3,395.85714285714283,4374.154192632023,6,52835,0
649708,5,3,363.125,4471.239163134345,6,443,0
17378586,7,6,58.84615384615385,44.019691080419534,6,7680,0
684340,5,4,328.77777777777777,4323.87108390249,6,52835,0
711109,5,5,331.6,4663.134658570849,6,52835,0
0,1,0,66.0,0,6,2869,0
17456017,7,7,58.5,46.917917508156876,6,64137,0
3033515,5,0,75.0,123.61893216702842,17,5353,0
2011493,2,0,69.0,68.60573372703637,17,5355,0
2110056,2,0,69.0,65.40108065110246,17,5355,0
3108896,6,0,75.0,144.7458710384988,17,5353,0
10383785,3,0,82.0,23.69078107688021,17,5353,0
10413046,4,0,82.0,31.49894816270026,17,5353,0
0,1,0,82.0,0,17,1947,0
1944962,2,0,70.0,71.9808045486963,17,5355,0
0,1,0,86.0,0,17,57621,0
4476112,3,0,92.0,61.660653743773025,17,137,0
4492352,4,0,92.0,81.91699576235183,17,137,0
15134551,3,0,179.0,35.48172587528245,17,1900,0
4525582,5,0,92.0,101.64437814421788,17,137,0
4542107,6,0,92.0,121.52947966301578,17,137,0
18958684,7,0,92.0,33.96860123860254,17,137,0
15171066,4,0,212.0,55.895870740769745,17,1900,0
1169588,6,5,306.3636363636364,2881.356292634878,6,443,0
16994179,8,0,259.25,122.04178675738355,17,5353,0
18002756,14,0,387.0,300.953918625258,17,5353,0
18083906,15,0,387.0,321.00365619240233,17,5353,0
0,1,0,482.0,0,17,5353,0
17307643,9,0,242.33333333333334,126.01368932140745,17,5353,0
2510482,2,0,75.0,59.749474962596366,17,5355,0
10630034,2,0,216.0,40.63956818340094,17,138,0
10930339,2,0,216.0,39.52301642781634,17,138,0
10801422,2,0,216.0,39.99473358554109,17,138,0
19334222,9,0,92.0,42.825617531740015,17,137,0
11825435,2,0,216.0,36.53142372160736,17,138,0
10767909,2,0,216.0,40.119209587908784,17,138,0
19490136,8,0,92.0,37.7626915720881,17,137,0
11391024,2,0,216.0,37.92459709731489,17,138,0
2991804,2,0,75.0,50.136968158120744,17,5355,0
17794102,9,0,76.0,38.439702293362096,17,5353,0
16349159,5,0,81.0,24.771914954071004,17,5353,0
0,1,0,211.0,0,17,1900,0
18642711,12,0,387.0,249.10538930360454,17,5353,0
18763336,13,0,387.0,268.1292793304892,17,5353,0
19352056,14,0,411.0,297.33274445068264,17,5353,0
19462308,15,0,411.0,316.7661240963862,17,5353,0
0,1,0,288.0,0,17,5353,0
0,1,0,70.0,0,17,5355,0
11251630,3,0,611.0,162.9097181855861,17,5353,0
0,1,0,81.0,0,17,5353,0
133603,2,0,100.0,1496.9712976379976,17,5353,0
13341544,5,0,79.6,29.831628277916128,17,5353,0
13415729,6,0,78.0,34.88442298823611,17,5353,0
6079752,2,0,212.0,69.7396816433356,17,1900,0
19553404,10,0,76.0,38.867911111180476,17,5353,0
19600356,11,0,76.0,42.652286297754195,17,5353,0
0,1,0,184.0,0,17,5353,0
12551141,2,1,146.66666666666666,35.056571677188046,17,53,0
0,1,0,102.0,0,17,53,0
12626420,2,2,169.25,53.617730606735826,17,51856,0
0,1,0,66.0,0,6,27017,0
35614,1,1,60.0,3369.4375974882346,6,52836,0
146482,1,1,169.5,2314.2701337256995,17,51856,0
21250652,8,0,389.0,146.44256181950627,17,5353,0
21074692,16,0,387.0,293.81211961499594,17,5353,0
13224298,4,0,148.0,44.76607892273583,17,5353,0
0,1,0,1125.0,0,17,3702,0
0,1,0,179.0,0,17,1900,0
0,1,0,122.0,0,17,5353,0
21128221,16,0,411.0,311.24248412137365,17,5353,0
